i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
12	1000	cavi	0.0510000000000019	-0.0427155146423755	4.98873753534058	10.0035399741719	19.9177059235659	-0.171864843898083	4.86217098838855	9.88148451577538	19.7997277875418	0.0864338146133319	5.1153040822926	10.1255954325685	20.03568405959	-0.0427155146423755	-0.0112624646594197	0.00353997417190044	-0.0822940764340991	TRUE	TRUE	TRUE	TRUE	TRUE
13	1000	gibbs	77.798	0.0315707694141295	4.93986627531352	10.001740323995	19.8956214256297	-0.0916046594129919	4.80303401090417	9.8717273310499	19.769824179397	0.15584872970339	5.07550243027102	10.1294980141775	20.0160891654911	0.0315707694141295	-0.0601337246864802	0.00174032399499957	-0.104378574370301	TRUE	TRUE	TRUE	TRUE	TRUE
13	1000	cavi	0.0490000000000066	0.0316601628040417	4.9396923342892	10.0011547454679	19.8958190131464	-0.0908423195293917	4.81223704330671	9.8775708765708	19.7742649732435	0.154162645137475	5.06714762527169	10.1247386143651	20.0173730530492	0.0316601628040417	-0.0603076657108002	0.0011547454679004	-0.104180986853599	TRUE	TRUE	TRUE	TRUE	TRUE
14	1000	gibbs	77.567	-0.0337029841613702	4.90540158067645	9.87364383794535	19.9325975842195	-0.156227542686602	4.76830435426819	9.73962075179199	19.8096464507644	0.0902695114644275	5.04404558374381	10.0060072739759	20.0574617090681	-0.0337029841613702	-0.0945984193235496	-0.12635616205465	-0.0674024157804993	TRUE	TRUE	TRUE	TRUE	TRUE
14	1000	cavi	0.0529999999999973	-0.0341101284406489	4.90559655274609	9.87398154853497	19.9336283906431	-0.153649106568044	4.77940451204536	9.74717876170914	19.8108884295902	0.085428849686746	5.03178859344682	10.0007843353608	20.0563683516959	-0.0341101284406489	-0.0944034472539101	-0.126018451465031	-0.0663716093568993	TRUE	TRUE	TRUE	TRUE	TRUE
15	1000	gibbs	77.456	0.00864866534498793	4.98019431431316	9.82639908925207	19.8780956011502	-0.125422311898105	4.85439933472095	9.69568092874544	19.7552833744582	0.141181226848456	5.10595784622168	9.95868778664602	20.0025782420725	0.00864866534498793	-0.0198056856868396	-0.173600910747931	-0.1219043988498	TRUE	TRUE	FALSE	TRUE	FALSE
15	1000	cavi	0.0519999999999925	0.00855263454684198	4.98081813336299	9.82706514150201	19.8780643028503	-0.119380211461939	4.86244410198763	9.70110388032053	19.7548401586124	0.136485480555623	5.09919216473835	9.95302640268348	20.0012884470881	0.00855263454684198	-0.0191818666370098	-0.172934858497991	-0.121935697149699	TRUE	TRUE	FALSE	TRUE	FALSE
16	1000	gibbs	77.558	-0.00976505203619117	4.98871910178857	10.0764013662124	19.8746858708269	-0.141590323029194	4.85265630355639	9.95739081550592	19.7437729040301	0.120836691015469	5.12416551983976	10.1968939082773	20.0041152930981	-0.00976505203619117	-0.0112808982114299	0.0764013662123997	-0.125314129173098	TRUE	TRUE	TRUE	TRUE	TRUE
16	1000	cavi	0.0510000000000019	-0.010331213599936	4.98941711548362	10.0761471987293	19.875421972577	-0.136419409722649	4.86454072138051	9.95901766542682	19.7478368398156	0.115756982522777	5.11429350958672	10.1932767320318	20.0030071053385	-0.010331213599936	-0.0105828845163796	0.0761471987293003	-0.124578027422999	TRUE	TRUE	TRUE	TRUE	TRUE
17	1000	gibbs	77.837	0.00619848228741257	4.91685372475216	10.0714428604115	19.9276005740467	-0.127189498893513	4.79155320046696	9.94536767610963	19.7973678647977	0.137212433685288	5.03962583656128	10.1997753983737	20.0581250721558	0.00619848228741257	-0.0831462752478398	0.0714428604114996	-0.0723994259533001	TRUE	TRUE	TRUE	TRUE	TRUE
