i	n	method	time	mu_1	mu_2	mu_3	mu_4
84	100	gibbs	8.016	0.0751655035358852	4.87590095391916	9.71377035289867	19.4804488420345
84	100	cavi	0.032	0.178773819302127	4.85926877914047	9.88187918369098	19.3388695821745
85	100	gibbs	7.974	-0.0460826645422031	5.06518978940772	9.93044933470811	19.2123411944435
85	100	cavi	0.032	-0.150394675987354	4.87393193277983	9.73784483502198	18.9208523013063
86	100	gibbs	8.013	-0.415919559253604	5.01430748470899	9.39345425738001	19.1365768241654
86	100	cavi	0.0309999999999988	-0.203986542215999	4.95616841421683	9.51949487468548	19.0763079440459
87	100	gibbs	8	-0.234532496711109	4.91100751698833	9.47253865833631	19.3425743686524
87	100	cavi	0.0310000000000006	-0.245660024506404	4.71507595949954	9.78040570334118	19.2692410798957
88	100	gibbs	8.014	0.0123568080467043	4.64368030164874	9.10601665630736	19.2196054069453
88	100	cavi	0.0309999999999988	-0.130967504398499	4.53558578780537	9.24058523873028	19.2831499867887
89	100	gibbs	7.946	0.253229410402007	4.68192389436213	9.69762924069949	19.1014056619985
89	100	cavi	0.032	0.377950636914052	4.58432869994876	9.51079895034417	19.145065582486
90	100	gibbs	7.981	-0.0777773935959566	4.80229579632812	9.43127040262708	19.4677727622649
90	100	cavi	0.0299999999999994	-0.035731191566509	5.06928556349331	9.84118041441823	19.3548879524831
91	100	gibbs	8.04	0.05153572088832	4.73006842027672	9.21911561322545	18.9212085099796
91	100	cavi	0.0310000000000006	0.226015257550635	4.52617513333876	9.1815774823152	19.1679269270044
92	100	gibbs	7.967	-0.108162088408234	4.40206453465328	9.8917930398622	19.1545530054523
92	100	cavi	0.0310000000000006	-0.0538001332822171	4.53113883024152	9.68170356162524	19.1420431622018
93	100	gibbs	8.004	0.048637756650722	4.21536427370105	9.58818760647141	19.4497940658586
93	100	cavi	0.0310000000000006	0.0192942500570621	4.67280917377748	9.40063082551785	18.9253597356171
94	100	gibbs	7.973	0.0300330272983045	4.74617583064409	9.83279806432189	19.2860698614372
94	100	cavi	0.0309999999999988	0.10716879207961	4.70509188407642	9.56780540811632	19.2584995828949
95	100	gibbs	7.995	0.161891786196962	4.53420291884532	10.5015886628198	19.3069067360299
95	100	cavi	0.032	0.289008086352832	4.54483833362593	9.7556445122103	19.3050407598158
96	100	gibbs	7.889	-0.380224527708393	4.84713946963836	9.65318072770248	19.2448534506352
96	100	cavi	0.032	-0.238219295899533	4.69053395478951	9.55904383295989	19.5147631747201
97	100	gibbs	7.866	0.0556969702856291	4.66972975999737	9.31314253278575	19.3349286859613
97	100	cavi	0.032	-0.123976014000222	4.53971017657352	9.53370989590879	19.2249665456115
98	100	gibbs	7.961	-0.0854321270227618	4.62289590416902	9.44524885187215	19.3567927175033
98	100	cavi	0.0300000000000011	0.121404833680381	4.62460366246681	9.40374963441199	19.1359653645139
99	100	gibbs	7.88	0.0223777681526389	4.83801610395312	9.89136948358168	18.8730993969743
99	100	cavi	0.0299999999999994	-0.0995328047774678	4.69654689046643	9.4334522619493	19.203475787348
100	100	gibbs	7.877	-0.030584566108687	4.82593023303604	9.77761291822329	19.6855184062603
100	100	cavi	0.032	0.176544153798036	4.66554858143899	9.44277615549991	19.4304185089628
101	100	gibbs	7.872	0.54197167615393	4.76793562562847	9.54305060811943	19.2660783365002
101	100	cavi	0.032	0.148046974313241	4.63749915656435	9.36207622852143	19.2841854015354
102	100	gibbs	7.835	-0.241675533371839	5.15893115901834	9.65691292984761	19.3317030641362
102	100	cavi	0.032	-0.235496312255346	4.97120402908909	9.7385024769455	19.133153123357
103	100	gibbs	7.866	0.263117307138509	4.69521409904189	9.3034240209624	19.0058971905595
103	100	cavi	0.0310000000000006	0.327819687040192	4.82211338484655	9.35699946603627	19.3236196629673
104	100	gibbs	7.846	-0.200505520907834	5.13683962266073	9.96481595048343	19.324250431581
104	100	cavi	0.0310000000000006	0.0137023381209445	4.96129537514593	9.65205706414462	19.0912316542302
105	100	gibbs	7.85	0.0985864661924761	5.10103325384127	8.8733063971937	19.5063463390356
105	100	cavi	0.032	0.204784028328148	5.06495349261385	9.31687273759159	19.5741680865783
106	100	gibbs	7.583	0.0598618147778149	5.20445593813418	9.78807428689806	18.7779735789725
106	100	cavi	0.032	0.121851188590175	4.94629741723647	9.48402938974371	18.8506632014371
107	100	gibbs	7.572	-0.115627716025049	4.54972351408195	9.73763508206209	19.4473342150503
107	100	cavi	0.032	-0.0277909167650025	4.65712821317549	9.65451000320958	19.1392843423509
108	100	gibbs	7.588	-0.0352807610863029	4.18707899273912	9.56148229775785	19.4302024137434
108	100	cavi	0.0319999999999991	-0.086207746427515	4.63418105283936	9.45177207535231	19.4253279478929
109	100	gibbs	7.022	0.0757667090327568	4.84014804922992	9.82641589904353	18.849083087835
109	100	cavi	0.0309999999999997	0.0871589964510091	4.6063778619882	9.8278697928859	18.8471346996462
110	100	gibbs	7.821	0.279715354029585	4.75025482220822	9.84986555170091	19.0986764045817
110	100	cavi	0.0329999999999995	0.265949770616163	4.7708635074446	9.61940606359903	18.9837741081732
111	100	gibbs	7.793	-0.200062321837308	4.48174243399947	10.2267769197702	19.0670521114488
111	100	cavi	0.0329999999999995	-0.107175750392661	4.68747155824199	9.97775435242252	19.1352778030713
112	100	gibbs	7.807	-0.42564602564138	4.49038114741283	9.72760670649901	18.5126445511137
112	100	cavi	0.032	-0.178207128948966	4.4496361122974	9.5520692835443	19.1103122006096
113	100	gibbs	7.635	-0.133100626109534	4.79666064441946	10.1488801214232	18.3371589657803
113	100	cavi	0.0310000000000006	-0.0645021494044134	4.77372853529356	9.91328883852733	18.5870661992789
114	100	gibbs	7.817	0.0186778520636989	4.89321157465924	9.32448606090177	19.4709383988878
114	100	cavi	0.032	-0.033318506718868	5.01019027040994	9.69089331904526	19.3527031274871
115	100	gibbs	7.806	-0.0787500391153575	4.70256238035121	9.37997505447475	19.89613882543
115	100	cavi	0.0329999999999995	-0.128596598847925	4.72402305879546	9.31771807212878	19.6656233689579
116	100	gibbs	7.838	0.0824215522905089	4.72409085792824	9.37540193193936	19.7633314418147
116	100	cavi	0.032	0.200830052847877	4.84220691036623	9.24783714433009	19.4606499290981
117	100	gibbs	7.811	-0.249590176613095	4.59368555797926	10.0693442046724	19.1417911578098
117	100	cavi	0.032	-0.123868400370487	4.63335572706948	10.003788186275	19.0709525342358
118	100	gibbs	11.339	0.106444900942612	4.18504864023715	9.54361496106881	19.030477884594
118	100	cavi	0.0449999999999999	0.118593665918138	4.56835349553102	9.54334915578695	19.1474601006576
119	100	gibbs	11.277	0.150980375683008	4.59950572317231	9.41916580806524	19.2381348159974
119	100	cavi	0.0449999999999999	-0.00190265380984015	4.69685956580209	9.41346376026306	19.0089508323759
120	100	gibbs	7.765	-0.0347159049411342	4.54277829784022	9.69169456401048	19.0940170251304
120	100	cavi	0.0299999999999994	0.0585070095072085	4.83290003506849	9.61323233067367	19.1540831370742
121	100	gibbs	7.778	-0.0568084342584473	4.99088369570397	9.86248427195064	19.3145883239882
121	100	cavi	0.032	-0.104866773543299	4.73832452664186	9.86219669113657	19.2181196813442
122	100	gibbs	7.749	0.341601227538658	5.02315696748467	9.07149838550847	19.0327914185645
122	100	cavi	0.0309999999999997	0.0296223226113616	4.91029102502219	9.34238779654123	19.0043388680607
123	100	gibbs	7.708	0.274438670469848	4.5265564081678	10.0550977586694	19.5142833588292
123	100	cavi	0.0289999999999999	0.091211649579867	4.48035578545855	9.8191635747264	19.4029140531322
124	100	gibbs	7.788	-0.136466054919694	5.34875466468965	9.62615436416328	18.8852429558881
124	100	cavi	0.032	-0.0858308890943349	5.028895165647	9.58219745597341	19.1761318605969
